'ACHInterMediate', 'UniqueID', None, 'NO', 'decimal', None, 19
'ACHInterMediate', 'acctId', None, 'YES', 'int', None, 10
'ACHInterMediate', 'ATID', None, 'YES', 'int', None, 10
'ACHInterMediate', 'PaymentAmount', None, 'YES', 'money', None, 19
'ACHInterMediate', 'PaymentDueDate', None, 'YES', 'datetime', None, None
'ACHInterMediate', 'SendDateTime', None, 'YES', 'datetime', None, None
'ACHInterMediate', 'SourceTranID', None, 'YES', 'decimal', None, 19
'ACHInterMediate', 'SendFlag', None, 'YES', 'tinyint', None, 3
'ACHInterMediate', 'PrimaryCurrencyCode', None, 'YES', 'char', 25, None
'ACHInterMediate', 'RoutingNumber', None, 'YES', 'char', 9, None
'ACHInterMediate', 'MerchantNumber', None, 'YES', 'varchar', 16, None
'ACHInterMediate', 'ACHAccountNumber', None, 'YES', 'varbinary', 100, None
'ACHInterMediate', 'ACHAccountType', None, 'YES', 'varchar', 5, None
'ACHInterMediate', 'NetworkType', None, 'YES', 'varchar', 8, None
'ACHInterMediate', 'StoreNumber', None, 'YES', 'varchar', 16, None
'ACHInterMediate', 'deACHInter_RegisterNumber', None, 'YES', 'varchar', 16, None
'ACHInterMediate', 'ACHSourceFile', None, 'YES', 'varchar', 10, None
'ACHInterMediate', 'OrgABANumber', None, 'YES', 'varchar', 12, None
'ACHInterMediate', 'OrgACHAccountNumber', None, 'YES', 'varchar', 23, None
'ACHInterMediate', 'ACHOriginationName', None, 'YES', 'varchar', 23, None
'ACHInterMediate', 'InstitutionID', None, 'YES', 'int', None, 10
'ACHInterMediate', 'ImmediateDestinationName', None, 'YES', 'varchar', 23, None
'ACHInterMediate', 'MerchantID', None, 'YES', 'varchar', 10, None
'ACHInterMediate', 'AccountNumber', None, 'YES', 'char', 19, None
'ACHInterMediate', 'PrimaryAccountNumber', None, 'YES', 'varbinary', 100, None
'ACHInterMediate', 'Pan_Hash', None, 'YES', 'int', None, 10
'ACHInterMediate', 'CpmDescription', None, 'YES', 'char', 50, None
'ACHInterMediate', 'CPSAcctID', None, 'YES', 'int', None, 10
'ACHInterMediate', 'LogoAcctid', None, 'YES', 'int', None, 10
'ACHInterMediate', 'TranId', None, 'YES', 'decimal', None, 19
'ACHInterMediate', 'TransmissionTime', None, 'NO', 'datetime', None, None
'ACHInterMediate', 'PaymentStatus', None, 'YES', 'varchar', 30, None
'ACHInterMediate', 'ReturnEffectveDate', None, 'YES', 'datetime', None, None
'ACHInterMediate', 'ReturnReasonCode', None, 'YES', 'char', 3, None
'ACHInterMediate', 'ACHAddendaInfo', None, 'YES', 'varchar', 44, None
'ACHInterMediate', 'TraceNumber', None, 'YES', 'varchar', 15, None
'ACHInterMediate', 'Dictionarydata', None, 'YES', 'varchar', 2, None
'ACHInterMediate', 'ReturnDate', None, 'YES', 'datetime', None, None
'ACHInterMediate', 'NOCAccountNumber', None, 'YES', 'varchar', 19, None
'ACHInterMediate', 'NOCRoutingNumber', None, 'YES', 'varchar', 10, None
'ACHInterMediate', 'NOCAccountName', None, 'YES', 'varchar', 50, None
'ACHInterMediate', 'NOCTranCode', None, 'YES', 'varchar', 10, None
'ACHInterMediate', 'ACHPaymentDate', None, 'YES', 'datetime', None, None
'ACHInterMediate', 'IsACHDraw', None, 'YES', 'tinyint', None, 3
'ACHInterMediate', 'PymtScheduleId', None, 'YES', 'decimal', None, 19
'ACHInterMediate', 'ImmediateOrigin', None, 'YES', 'varchar', 10, None
'ACHInterMediate', 'ACHPymtAmt', None, 'YES', 'tinyint', None, 3
'ACHInterMediate', 'ACHErrorReason', None, 'YES', 'varchar', 200, None
'ACHInterMediate', 'MethodName', None, 'YES', 'decimal', None, 19
'ACHInterMediate', 'PaymentType', None, 'YES', 'tinyint', None, 3
'ACHInterMediate', 'BankAccountNumber_Hash', None, 'YES', 'int', None, 10
'ACHInterMediate', 'Frequency', None, 'YES', 'int', None, 10
'ACHInterMediate', 'PaymentDescription', None, 'YES', 'varchar', 10, None
'ACHInterMediate', 'FileName', None, 'YES', 'varchar', 255, None
'ACHInterMediate', 'ActualPaymentDate', None, 'YES', 'datetime', None, None
'ACHInterMediate', 'ReturnFileName', None, 'YES', 'varchar', 255, None
'ACHInterMediate', 'ReturnTranID', None, 'YES', 'decimal', None, 19
'ACHInterMediate', 'MethodNameDescription', None, 'YES', 'char', 80, None
'ACHInterMediate', 'OriginalPaymentAmount', None, 'YES', 'money', None, 19
'ACHInterMediate', 'EmbAcctid', None, 'YES', 'decimal', None, 19
'ACHInterMediate', 'IsACHAdjustment', None, 'YES', 'tinyint', None, 3
'ACHInterMediate', 'ACHAccountNumberLength', None, 'YES', 'int', None, 10
'ACHInterMediate', 'ACHRunId', None, 'YES', 'decimal', None, 19
'ACHInterMediate', 'EffectiveDate', None, 'YES', 'datetime', None, None
'ACHInterMediate', 'LgOTPSchedule', None, 'YES', 'varchar', 1, None
'ACHInterMediate', 'LgMinimumDue', None, 'YES', 'varchar', 1, None
'ACHInterMediate', 'LgStatementBalance', None, 'YES', 'varchar', 1, None
'ACHInterMediate', 'FirstName', None, 'YES', 'varchar', 50, None
'ACHInterMediate', 'LastName', None, 'YES', 'varchar', 50, None
'ACHInterMediate', 'usrId', None, 'YES', 'varchar', 128, None
'ACHInterMediate', 'TransactionCurrencyCode', None, 'YES', 'char', 3, None
'ACHInterMediate', 'ClientId', None, 'YES', 'varchar', 50, None
'ACHInterMediate', 'BatchNumber', None, 'YES', 'decimal', None, 19
'ACHInterMediate', 'FHReferneceID', None, 'YES', 'char', 10, None
'ACHInterMediate', 'PaymentReferenceId', None, 'YES', 'varchar', 36, None
'ACHInterMediate', 'FirstNameEncy', None, 'YES', 'varbinary', 100, None
'ACHInterMediate', 'FirstNameEncyHash', None, 'YES', 'int', None, 10
'ACHInterMediate', 'LastNameEncy', None, 'YES', 'varbinary', 100, None
'ACHInterMediate', 'LastNameEncyHash', None, 'YES', 'int', None, 10
'ACHInterMediate', 'PIIIndicator', None, 'YES', 'int', None, 10
'ACHInterMediate', 'PIIRequestId', None, 'YES', 'decimal', None, 19
'ACHInterMediate', 'IsPayoff', None, 'YES', 'int', None, 10
'ACHInterMediate', 'NewTxnIntDay1', None, 'YES', 'money', None, 19
'ACHInterMediate', 'RevIntDay1', None, 'YES', 'money', None, 19
'ACHInterMediate', 'GTZCB', None, 'YES', 'money', None, 19
'ACHInterMediate', 'GTZCBInProcessing', None, 'YES', 'money', None, 19
'ACHInterMediate', 'SECCode', None, 'YES', 'tinyint', None, 3
'ACHInterMediate', 'CreateTxn', None, 'YES', 'tinyint', None, 3
'ACHInterMediate', 'DailyTotalLimit', None, 'YES', 'money', None, 19
'ACHInterMediate', 'DailyTransactionLimit', None, 'YES', 'money', None, 19
'ACHInterMediate', 'UniversalUniqueID', None, 'YES', 'varchar', 64, None
'ACHInterMediate', 'PaymentScheduleUUID', None, 'YES', 'varchar', 64, None
'ACHInterMediate', 'LgAdjStmtBal', None, 'YES', 'varchar', 1, None
'ACHInterMediate', 'CustomerId', None, 'YES', 'varchar', 25, None
'ACHInterMediate', 'CustomerUUID', None, 'YES', 'varchar', 64, None
'ACHInterMediate', 'PaymentProcessTime', None, 'YES', 'datetime', None, None
'ACHInterMediate', 'PreMrgAcctID', None, 'YES', 'int', None, 10
'ACHInterMediate', 'MrgDateOn', None, 'YES', 'datetime', None, None
'ACHInterMediate', 'PreMrgUniquedId', None, 'YES', 'decimal', None, 19
'ACHInterMediate', 'PreMrgTranId', None, 'YES', 'decimal', None, 19
