src_Table.ColumnName,src_DefaultValue,src_IsNullable,src_DataType,src_Length,src_Precesion,dst_Table.ColumnName,dst_DefaultValue,dst_IsNullable,dst_DataType,dst_Length,dst_Precesion,Comment
'ACHInterMediate.TransmissionTime',None,'YES','datetime',None,None,'ACHInterMediate.TransmissionTime',None,'NO','datetime',None,None,Column mismatch
'ACHInterMediate.AlertFlag','((1))','YES','tinyint',None,3,'ACHInterMediate.AlertFlag',None,'YES','tinyint',None,3,Column mismatch
'ACHInterMediate.RowCreatedDate','(getdate())','YES','datetime',None,None,'ACHInterMediate.RowCreatedDate',None,'YES','datetime',None,None,Column mismatch
'ACHPIIJSONRequest.PIIRequestId',None,'YES','decimal',None,19,'ACHPIIJSONRequest.PIIRequestId',None,'NO','decimal',None,19,Column mismatch
'ACHPIIJSONResponse.SPTookTime',None,'YES','varchar',10,None,,,,,,,Missing column
'AlertNotificationLog_Processed.ModSkey',None,'NO','decimal',None,4,'AlertNotificationLog_Processed.ModSkey',None,'NO','decimal',None,19,Column mismatch
'Auth_MDS1.RowCreatedDate','(getdate())','YES','datetime',None,None,'Auth_MDS1.RowCreatedDate',None,'YES','datetime',None,None,Column mismatch
'Auth_primary.PostTime',None,'YES','datetime',None,None,'Auth_primary.PostTime',None,'NO','datetime',None,None,Column mismatch
'Auth_primary.RowChangedDate','(getdate())','YES','datetime',None,None,'Auth_primary.RowChangedDate',None,'YES','datetime',None,None,Column mismatch
'Auth_primary.RowCreatedDate','(getdate())','YES','datetime',None,None,'Auth_primary.RowCreatedDate',None,'YES','datetime',None,None,Column mismatch
'Auth_primary_old.PostTime',None,'NO','datetime',None,None,'Auth_primary_old.PostTime',None,'YES','datetime',None,None,Column mismatch
'Auth_primary_old.ChangeVersion',None,'NO','timestamp',None,None,,,,,,,Missing column
'auth_secondary.RowCreatedDate','(getdate())','YES','datetime',None,None,'auth_secondary.RowCreatedDate',None,'YES','datetime',None,None,Column mismatch
'CBLog.LogTime',None,'YES','datetime',None,None,'CBLog.LogTime',None,'NO','datetime',None,None,Column mismatch
'CBLog.RowCreatedDate','(getdate())','YES','datetime',None,None,'CBLog.RowCreatedDate',None,'YES','datetime',None,None,Column mismatch
'ccard_primary.PostTime',None,'YES','datetime',None,None,'ccard_primary.PostTime',None,'NO','datetime',None,None,Column mismatch
'ccard_primary.RowCreatedDate','(getdate())','YES','datetime',None,None,'ccard_primary.RowCreatedDate',None,'YES','datetime',None,None,Column mismatch
'CCard_Primary_Verify.TranId',None,'NO','decimal',None,19,'CCard_Primary_Verify.TranId',None,'NO','numeric',None,19,Column mismatch
'CCard_Primary_Verify.TranRef',None,'YES','decimal',None,19,'CCard_Primary_Verify.TranRef',None,'YES','numeric',None,19,Column mismatch
'CCard_Primary_Verify.RevTgt',None,'YES','decimal',None,19,'CCard_Primary_Verify.RevTgt',None,'YES','numeric',None,19,Column mismatch
'CCard_Primary_Verify.tranorig',None,'YES','decimal',None,19,'CCard_Primary_Verify.tranorig',None,'YES','numeric',None,19,Column mismatch
'CCard_Primary_Verify.AuthTranId',None,'YES','decimal',None,19,'CCard_Primary_Verify.AuthTranId',None,'YES','numeric',None,19,Column mismatch
